Date,ACC.NS,ADANIGREEN.NS,ADANIPOWER.NS,AMBUJACEM.NS,APLAPOLLO.NS,BPCL.NS,COALINDIA.NS,DALBHARAT.NS,DEEPAKNTR.NS,GRASIM.NS,HINDALCO.NS,HINDPETRO.NS,IOC.NS,JINDALSTEL.NS,JSWSTEEL.NS,NTPC.NS,ONGC.NS,PIDILITIND.NS,PIIND.NS,RELIANCE.NS,SAIL.NS,SHREECEM.NS,SRF.NS,TATACHEM.NS,TATAPOWER.NS,TATASTEEL.NS,ULTRACEMCO.NS,UPL.NS,VEDL.NS
2022-03-10,1982.263916015625,1881.8499755859375,122.5,285.4293212890625,877.6661376953125,323.88189697265625,150.34237670898438,1466.7955322265625,1996.8990478515625,1535.4993896484375,584.5859985351562,256.9297180175781,71.92066192626953,463.1632995605469,628.5972290039062,123.3414077758789,150.75892639160156,2329.99755859375,2531.839599609375,2193.117919921875,91.53621673583984,22019.974609375,2270.217529296875,881.385986328125,228.2799072265625,120.24523162841797,5990.62353515625,702.6939086914062,244.26197814941406
2022-03-11,1976.745849609375,1860.050048828125,121.80000305175781,285.6727294921875,894.3590087890625,335.9462585449219,152.6947479248047,1415.037109375,2035.1070556640625,1546.707763671875,579.9588623046875,270.8737487792969,73.55590057373047,474.49981689453125,646.9503784179688,122.41368103027344,151.92625427246094,2318.346923828125,2566.901123046875,2199.443603515625,92.04424285888672,22215.3984375,2236.48291015625,898.488525390625,229.1645050048828,119.60206604003906,5959.39697265625,703.9068603515625,244.2296905517578
2022-03-14,1992.380615234375,1822.4000244140625,122.1500015258789,283.48236083984375,880.6470336914062,333.7654113769531,151.5185546875,1392.81982421875,2190.917236328125,1557.8172607421875,581.6325073242188,256.9757385253906,71.83146667480469,471.6285705566406,642.2172241210938,122.5992202758789,148.553955078125,2324.841552734375,2665.371826171875,2217.503662109375,91.72096252441406,22182.513671875,2340.4697265625,902.94580078125,227.5918731689453,119.17021942138672,5974.14453125,709.0494384765625,242.67982482910156
2022-03-15,1994.6072998046875,1798.75,122.30000305175781,287.2789611816406,912.7907104492188,325.08831787109375,145.259521484375,1409.050048828125,2183.573486328125,1544.732666015625,551.0643310546875,251.77545166015625,70.76113891601562,448.01495361328125,619.3240356445312,121.5787353515625,141.59320068359375,2350.47265625,2634.985107421875,2166.71533203125,87.65679168701172,22618.048828125,2404.66015625,892.09326171875,223.51280212402344,113.35872650146484,5959.64404296875,718.9950561523438,230.99143981933594
2022-03-16,2061.211669921875,1833.6500244140625,122.9000015258789,301.15130615234375,931.1229858398438,330.6564636230469,148.6200714111328,1458.3341064453125,2206.002197265625,1584.0362548828125,563.8134155273438,256.1933898925781,72.51528930664062,461.510009765625,632.9440307617188,123.1558609008789,144.66285705566406,2442.04052734375,2714.010498046875,2203.294189453125,89.78123474121094,23406.638671875,2453.548095703125,908.9534912109375,226.5106658935547,116.25299835205078,6241.38134765625,730.1050415039062,241.0977020263672
2022-03-17,2054.919189453125,1901.199951171875,125.0999984741211,298.0848083496094,905.7857055664062,337.9879455566406,148.32601928710938,1445.122314453125,2212.006103515625,1599.6390380859375,567.8497314453125,259.046630859375,72.15851593017578,473.46697998046875,661.77783203125,123.2950210571289,147.25692749023438,2489.13818359375,2800.296875,2275.122314453125,90.61254119873047,23897.4296875,2571.7939453125,910.3585815429688,227.7884521484375,119.76286315917969,6308.38916015625,738.9832763671875,244.39112854003906
2022-03-21,1990.1539306640625,1876.050048828125,124.55000305175781,292.38983154296875,957.702392578125,331.4917297363281,153.15682983398438,1410.385986328125,2252.59619140625,1549.8677978515625,580.7957153320312,254.21453857421875,70.16648864746094,483.8363037109375,658.107177734375,123.2950210571289,149.20248413085938,2464.201416015625,2769.1640625,2262.012451171875,91.81332397460938,23203.12890625,2588.934326171875,910.1163330078125,224.05340576171875,119.7169189453125,6127.9052734375,752.858642578125,258.3396911621094
2022-03-22,1992.6226806640625,1877.449951171875,123.75,292.92523193359375,932.0669555664062,341.8856506347656,154.03897094726562,1407.7138671875,2238.35498046875,1562.7548828125,584.241455078125,257.85009765625,71.74227142333984,489.29388427734375,672.789794921875,123.2486343383789,151.7100830078125,2429.596923828125,2762.897705078125,2320.4560546875,91.90569305419922,23186.267578125,2613.776123046875,925.0870971679688,227.44442749023438,119.62963104248047,6148.046875,757.7586669921875,260.9227600097656
2022-03-23,2003.707275390625,1921.4000244140625,130.1999969482422,289.9560852050781,902.9041748046875,340.2152404785156,153.78692626953125,1397.866943359375,2203.719482421875,1562.3599853515625,599.0086669921875,261.99188232421875,72.36663818359375,506.85723876953125,680.4208374023438,123.8052749633789,151.83981323242188,2413.2861328125,2726.0458984375,2327.835693359375,95.23092651367188,23225.845703125,2578.74951171875,932.16064453125,230.29486083984375,122.29419708251953,6170.21728515625,770.3726196289062,263.893310546875
2022-03-24,2014.0172119140625,1911.4000244140625,132.14999389648438,289.1772766113281,895.9984741210938,336.5030822753906,157.44149780273438,1374.066162109375,2223.369384765625,1579.4442138671875,612.2991943359375,253.11004638671875,71.71253967285156,517.62353515625,690.756591796875,125.61431884765625,153.43946838378906,2403.122802734375,2736.937255859375,2364.001953125,96.0622329711914,23087.513671875,2591.56787109375,942.5287475585938,235.40597534179688,124.09046173095703,6286.86181640625,775.36962890625,265.50775146484375
